Rotary encoder SYNC DATA
Neuropixel setup
Samping rate: 50 sps
20-21-09_01-13-2023
timestamp_sys,timestamp
2023-01-13_20:21:59.980431,50807
2023-01-13_20:22:00.090985,50917
2023-01-13_20:22:00.199898,51027
2023-01-13_20:22:00.310456,51137
2023-01-13_20:22:00.420423,51247
2023-01-13_20:22:00.530278,51357
2023-01-13_20:22:00.641230,51467
2023-01-13_20:22:00.750726,51577
2023-01-13_20:22:00.860904,51687
2023-01-13_20:22:00.971471,51798
2023-01-13_20:22:01.081467,51908
2023-01-13_20:22:01.190743,52018
2023-01-13_20:22:01.301363,52128
2023-01-13_20:22:01.411541,52238
2023-01-13_20:22:01.521417,52348
2023-01-13_20:22:01.631420,52458
2023-01-13_20:22:01.741217,52568
2023-01-13_20:22:01.851936,52678
2023-01-13_20:22:01.961748,52788
2023-01-13_20:22:02.071985,52898
2023-01-13_20:22:02.182444,53008
2023-01-13_20:22:02.292006,53118
2023-01-13_20:22:02.401338,53228
2023-01-13_20:22:02.511766,53339
2023-01-13_20:22:02.622371,53449
2023-01-13_20:22:02.732450,53559
2023-01-13_20:22:02.842597,53669
2023-01-13_20:22:02.954029,53779
2023-01-13_20:22:03.062800,53889
2023-01-13_20:22:03.172410,53999
2023-01-13_20:22:03.282489,54109
2023-01-13_20:22:03.393033,54219
2023-01-13_20:22:03.502987,54329
2023-01-13_20:22:03.613106,54439
2023-01-13_20:22:03.723014,54549
2023-01-13_20:22:03.833453,54659
2023-01-13_20:22:03.943394,54769
2023-01-13_20:22:04.163394,54990
2023-01-13_20:22:04.273476,55100
2023-01-13_20:22:04.383449,55210
2023-01-13_20:22:04.494269,55320
2023-01-13_20:22:04.603983,55430
2023-01-13_20:22:04.713577,55540
2023-01-13_20:22:04.823837,55650
2023-01-13_20:22:04.934118,55760
2023-01-13_20:22:05.043926,55870
2023-01-13_20:22:05.154315,55980
2023-01-13_20:22:05.264164,56090
2023-01-13_20:22:05.374273,56200
2023-01-13_20:22:05.483861,56310
2023-01-13_20:22:05.594314,56420
2023-01-13_20:22:05.704415,56531
2023-01-13_20:22:05.814537,56641
2023-01-13_20:22:05.924745,56751
2023-01-13_20:22:06.034461,56861
2023-01-13_20:22:06.145031,56971
2023-01-13_20:22:06.255613,57081
2023-01-13_20:22:06.364203,57191
2023-01-13_20:22:06.475776,57301
2023-01-13_20:22:06.584463,57411
2023-01-13_20:22:06.695622,57521
2023-01-13_20:22:06.805528,57631
2023-01-13_20:22:06.915700,57741
2023-01-13_20:22:07.025340,57851
2023-01-13_20:22:07.135384,57961
2023-01-13_20:22:07.245769,58072
2023-01-13_20:22:07.356172,58182
2023-01-13_20:22:07.465587,58292
2023-01-13_20:22:07.576759,58402
2023-01-13_20:22:07.685526,58512
2023-01-13_20:22:07.796718,58622
2023-01-13_20:22:07.905613,58732
2023-01-13_20:22:08.015585,58842
2023-01-13_20:22:08.125704,58952
2023-01-13_20:22:08.236049,59062
2023-01-13_20:22:08.345493,59172
2023-01-13_20:22:08.457167,59282
2023-01-13_20:22:08.566242,59392
2023-01-13_20:22:08.677261,59502
2023-01-13_20:22:08.786216,59612
2023-01-13_20:22:08.896987,59723
2023-01-13_20:22:09.006592,59833
2023-01-13_20:22:09.116285,59943
2023-01-13_20:22:09.225904,60053
2023-01-13_20:22:09.337755,60163
2023-01-13_20:22:09.446707,60273
2023-01-13_20:22:09.557665,60383
2023-01-13_20:22:09.666637,60493
2023-01-13_20:22:09.777508,60603
2023-01-13_20:22:09.886576,60713
2023-01-13_20:22:09.997874,60823
2023-01-13_20:22:10.106714,60933
2023-01-13_20:22:10.217695,61043
2023-01-13_20:22:10.326718,61153
2023-01-13_20:22:10.437788,61264
2023-01-13_20:22:10.546801,61374
2023-01-13_20:22:10.657534,61484
2023-01-13_20:22:10.767784,61594
2023-01-13_20:22:10.877353,61704
2023-01-13_20:22:10.987034,61814
2023-01-13_20:22:11.098208,61924
2023-01-13_20:22:11.207726,62034
2023-01-13_20:22:11.318518,62144
2023-01-13_20:22:11.428151,62254
2023-01-13_20:22:11.537696,62364
2023-01-13_20:22:11.647482,62474
2023-01-13_20:22:11.757458,62584
2023-01-13_20:22:11.868366,62694
2023-01-13_20:22:11.978327,62805
2023-01-13_20:22:12.088067,62915
2023-01-13_20:22:12.197727,63025
2023-01-13_20:22:12.308257,63135
2023-01-13_20:22:12.418512,63245
2023-01-13_20:22:12.528797,63355
2023-01-13_20:22:12.638438,63465
2023-01-13_20:22:12.748083,63575
2023-01-13_20:22:12.859101,63685
2023-01-13_20:22:12.969127,63795
2023-01-13_20:22:13.079100,63905
2023-01-13_20:22:13.188495,64015
2023-01-13_20:22:13.298814,64125
2023-01-13_20:22:13.409327,64235
2023-01-13_20:22:13.519842,64345
2023-01-13_20:22:13.629359,64456
2023-01-13_20:22:13.739478,64566
2023-01-13_20:22:13.849495,64676
2023-01-13_20:22:13.959619,64786
2023-01-13_20:22:14.069296,64896
2023-01-13_20:22:14.179364,65006
2023-01-13_20:22:14.289230,65116
2023-01-13_20:22:14.399413,65226
2023-01-13_20:22:14.509515,65336
2023-01-13_20:22:14.619537,65446
2023-01-13_20:22:14.729656,65556
2023-01-13_20:22:14.840283,65666
2023-01-13_20:22:14.949910,65776
2023-01-13_20:22:15.060477,65886
2023-01-13_20:22:15.170436,65997
2023-01-13_20:22:15.280078,66107
2023-01-13_20:22:15.390362,66217
2023-01-13_20:22:15.500315,66327
2023-01-13_20:22:15.610061,66437
2023-01-13_20:22:15.720423,66547
2023-01-13_20:22:15.830410,66657
2023-01-13_20:22:15.940924,66767
2023-01-13_20:22:16.051211,66877
2023-01-13_20:22:16.160781,66987
2023-01-13_20:22:16.270878,67097
2023-01-13_20:22:16.380960,67207
2023-01-13_20:22:16.490544,67317
2023-01-13_20:22:16.601210,67427
2023-01-13_20:22:16.710890,67537
