Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:23:25.226862, 2680, 240613, 0, 209376
2023-01-13_20:23:25.246928, 2700, 240613, 0, 209376
2023-01-13_20:23:25.266840, 2720, 240613, 0, 209376
2023-01-13_20:23:25.286835, 2740, 240613, 0, 209376
2023-01-13_20:23:25.306587, 2760, 240613, 0, 209376
2023-01-13_20:23:25.326898, 2780, 240613, 0, 209376
2023-01-13_20:23:25.346808, 2800, 240613, 0, 209376
2023-01-13_20:23:25.366801, 2820, 240613, 0, 209376
2023-01-13_20:23:25.386711, 2840, 240613, 0, 209376
2023-01-13_20:23:25.407035, 2860, 240613, 0, 209376
2023-01-13_20:23:25.426945, 2880, 240613, 0, 209376
2023-01-13_20:23:25.446606, 2900, 240613, 0, 209376
2023-01-13_20:23:25.466516, 2920, 240613, 0, 209376
2023-01-13_20:23:25.487425, 2940, 240613, 0, 209376
2023-01-13_20:23:25.506341, 2960, 240613, 0, 209376
2023-01-13_20:23:25.526991, 2980, 240613, 0, 209376
2023-01-13_20:23:25.546905, 3000, 240613, 0, 209376
2023-01-13_20:23:25.567813, 3020, 240613, 0, 209376
2023-01-13_20:23:25.586728, 3040, 240613, 0, 209376
2023-01-13_20:23:25.606640, 3060, 240613, 0, 209376
2023-01-13_20:23:25.626608, 3080, 240613, 0, 209376
2023-01-13_20:23:25.646522, 3100, 240613, 0, 209376
2023-01-13_20:23:25.667428, 3120, 240613, 0, 209376
2023-01-13_20:23:25.687442, 3140, 240613, 0, 209376
2023-01-13_20:23:25.707393, 3160, 240613, 0, 209376
2023-01-13_20:23:25.727313, 3180, 240613, 0, 209376
2023-01-13_20:23:25.747218, 3200, 240613, 0, 209376
2023-01-13_20:23:25.767131, 3220, 240613, 0, 209376
2023-01-13_20:23:25.786773, 3240, 240613, 0, 209376
2023-01-13_20:23:25.806684, 3260, 240613, 0, 209376
2023-01-13_20:23:25.826672, 3280, 240613, 0, 209376
2023-01-13_20:23:25.846585, 3300, 240614, 0, 209376
2023-01-13_20:23:25.866670, 3320, 240614, 0, 209376
2023-01-13_20:23:25.886582, 3340, 240614, 0, 209376
2023-01-13_20:23:25.906495, 3360, 240609, 0, 209376
2023-01-13_20:23:25.927403, 3380, 240607, 0, 209376
2023-01-13_20:23:25.946456, 3400, 240619, 0, 209376
2023-01-13_20:23:25.967364, 3420, 240610, 0, 209376
2023-01-13_20:23:25.987323, 3440, 240608, 0, 209376
2023-01-13_20:23:26.007236, 3460, 240611, 0, 209376
2023-01-13_20:23:26.027411, 3480, 240622, 0, 209376
2023-01-13_20:23:26.046681, 3500, 240622, 0, 209376
2023-01-13_20:23:26.067113, 3520, 240614, 0, 209376
2023-01-13_20:23:26.087025, 3540, 240603, 0, 209376
2023-01-13_20:23:26.107486, 3560, 240601, 0, 209376
2023-01-13_20:23:26.127400, 3580, 240600, 0, 209376
2023-01-13_20:23:26.147019, 3600, 240593, 0, 209376
