2018-08-18_18:04:44.997255,3325488
2018-08-18_18:04:45.022740,3325535
2018-08-18_18:04:45.047246,3325600
2018-08-18_18:04:45.072731,3325677
2018-08-18_18:04:45.097653,3325756
2018-08-18_18:04:45.122160,3325828
2018-08-18_18:04:45.147645,3325893
2018-08-18_18:04:45.172150,3325955
2018-08-18_18:04:45.197551,3326017
2018-08-18_18:04:45.222054,3326082
2018-08-18_18:04:45.247541,3326157
2018-08-18_18:04:45.272046,3326232
2018-08-18_18:04:45.297417,3326291
2018-08-18_18:04:45.321927,3326346
2018-08-18_18:04:45.347407,3326396
2018-08-18_18:04:45.371912,3326439
2018-08-18_18:04:45.397312,3326477
2018-08-18_18:04:45.421818,3326512
2018-08-18_18:04:45.447303,3326545
2018-08-18_18:04:45.472789,3326578
2018-08-18_18:04:45.497205,3326613
2018-08-18_18:04:45.522077,3326647
2018-08-18_18:04:45.547558,3326682
2018-08-18_18:04:45.572070,3326717
2018-08-18_18:04:45.597111,3326755
2018-08-18_18:04:45.622596,3326797
2018-08-18_18:04:45.647260,3326843
2018-08-18_18:04:45.672746,3326889
2018-08-18_18:04:45.697324,3326939
2018-08-18_18:04:45.722809,3326994
2018-08-18_18:04:45.747318,3327054
2018-08-18_18:04:45.772799,3327121
2018-08-18_18:04:45.797721,3327188
2018-08-18_18:04:45.822224,3327249
2018-08-18_18:04:45.847709,3327301
2018-08-18_18:04:45.872215,3327348
2018-08-18_18:04:45.897612,3327389
2018-08-18_18:04:45.922118,3327425
2018-08-18_18:04:45.947603,3327450
2018-08-18_18:04:45.972749,3327472
2018-08-18_18:04:45.997356,3327495
2018-08-18_18:04:46.023000,3327519
2018-08-18_18:04:46.047642,3327545
2018-08-18_18:04:46.072285,3327577
2018-08-18_18:04:46.097432,3327618
2018-08-18_18:04:46.122579,3327669
2018-08-18_18:04:46.147731,3327729
2018-08-18_18:04:46.172873,3327789
2018-08-18_18:04:46.197517,3327844
2018-08-18_18:04:46.222663,3327887
2018-08-18_18:04:46.247308,3327924
2018-08-18_18:04:46.272455,3327957
2018-08-18_18:04:46.297602,3327986
2018-08-18_18:04:46.322246,3328014
2018-08-18_18:04:46.347064,3328045
2018-08-18_18:04:46.372549,3328083
2018-08-18_18:04:46.397056,3328131
2018-08-18_18:04:46.422598,3328187
2018-08-18_18:04:46.446894,3328249
2018-08-18_18:04:46.472379,3328309
